"Plant_species","Pollinator_species","Interaction","Id","Unique_id","Locality","Latitude","Longitude","Order_all","Family_all","Genus_all","Species_all","Subspecies","Sex_or_flower_type","Breeding_system","Breeding_system_info","Autonomous_selfing_level","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set","Autonomous_selfing_level_seed_set","autonomous_selfing_sample_size","Compatibility","Self_compatible_author","Self_compatible_reference","Self_compatible_doi","Compatibility_genus","Info_level","Asexual_reproduction","Asexual_reproduction_type","Agamospermy/apomixis (yes/no/some_populations)","Flower_colour","Flower_morphology","Flower_symmetry","Corolla_diameter_mean","Corolla_diameter_min","Corolla_diameter_max","Corolla_length_mean","Corolla_length_min","Corolla_length_max","Tube_length","style_length_mm","style_length_min_mm","style_length_max_mm","style_length_max_sd","style_length_max_N","ovules_mean","ovules_min","ovules max","ovules_sd","ovules_n","life_form","lifespan","plant_height_min_m","plant_height_max_m","plant_height_mean_m","References","Reference_info","DOI","doi__1","doi__2","doi__3","doi__4","type_of_proxy_seed _or_fruit","open_pollination_percentage","open_pollination_n","hand_poll_outcrossing_percentage","hand_poll_outcrossing_percentage_n","hand_poll_self_percentage","hand_poll_self_n","spontaneus_selfing_percentage","spontaneus_selfing_n","geitonogamy_percentage","geitonogamy_n","apomixis_percentage","apomixis_n","Species"
"Persicaria thunbergii","Bombus diversus diversus",25,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Fabales","Polygalaceae","Polygonum","Polygonum thunbergii","NA","bisexual","hermaphrodite","cleistogamous & chasmogamous","NA","NA","NA","NA","NA","self_compatible","konuma & terauchi 2001","journal: bione","https://doi.org/10.1674/0003-0031(2001)146[0122:PGSOTS]2.0.CO;2","NA","flower","NA","NA","NA","pink","bowl","actinomorphic","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","0.1","0.7","0.4","konuma & terauchi 2001; kawano 2008","journal: bio one complete; journal: plant species biology","https://doi.org/10.1674/0003-0031(2001)146[0122:PGSOTS]2.0.CO;2","10.1111/j.1442-1984.2008.00226.x","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Polygonum thunbergii"
"Persicaria yokusaiana","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Caryophyllales","Polygonaceae","Polygonum","Polygonum posumbu","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","pink_white","bowl","actinomorphic","2.25","2","2.5","2.25","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","annual","0.3","0.7","0.5","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Polygonum posumbu"
"Plantago asiatica","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Plantaginaceae","Plantago","Plantago asiatica","NA","bisexual","hermaphrodite","protogynous","NA","NA","NA","NA","NA","self_compatible","sano 2016","journal: weed biology and manegement","10.1111/wbm.12098","NA","flower","no","NA","NA","green","tube","actinomorphic","2","NA","NA","3.25","3","3.5","3.25","NA","NA","NA","NA","NA","4.9000000000000004","NA","NA","0.6","NA","herb","perennial","NA","0.5","0.25","yamawo & mukai 2017; NA; NA; sano 2016; NA","journal: proceecings biological science; http://www.flowersofindia.net; book: who monographs on selected medicinal plants - volume 1; journal: weed biology and management","10.1098/rspb.2017.0800","NA","NA","10.1111/wbm.12098","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Plantago asiatica"
"Pollia japonica","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Commelinales","Commelinaceae","Pollia","Pollia japonica","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","10","NA","NA","5","NA","NA","NA","5","NA","NA","NA","NA","16.5","3","30","NA","NA","herb","perennial","0.3","0.5","0.4","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Pollia japonica"
"Potentilla sundaica","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Potentilla","Potentilla sundaica","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","naruhashi et al., 2005","journal: journal of phytogeography and taxonomy","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","7","6","8","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","NA","0.45","0.22500000000000001","naruhashi, nishikawa & iwatsubo 2005; NA","journal: journal of phytogeography and taxonomy; online: https://sites.google.com/site/efloraofindia/species/m---z/r/rosaceae/potentilla/potentilla-sundaica","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Potentilla sundaica"
"Prunus jamasakura","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Prunus","Prunus jamasakura","NA","bisexual","hermaphrodite","NA","none","quantitative","0","0","NA","self_incompatible","watanabe & yoshikawa 1977","journal: the botanical magazine, tokyo","NA","NA","flower","no","NA","no","pink_white","dish","actinomorphic","35","NA","NA","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","tree","perennial","6","25","15.5","watanabe & yoshikawa 1967; NA","journal: the botanical magazine tokyio; online: efloras.org","10.15281/jplantres1887.80.257","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Prunus jamasakura"
"Rabdosia longituba","Bombus diversus diversus",5,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Lamiaceae","Isodon","Isodon longitubus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","6","NA","NA","20","NA","NA","14","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","1","0.5","NA; NA; inoue et al., 1990","online: efloras.org; online: https://davesgarden.com (picture); journal: contributions from the biological laboratory","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Isodon longitubus"
"Rabdosia trichocarpa","Bombus diversus diversus",3,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Lamiales","Lamiaceae","Isodon","Isodon trichocarpus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","purple","tube","zygomorphic","3","NA","NA","8","7","9","8","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.5","1.5","1","inoue et al., 1990; NA","journal: contributions from the biological laboratory; online: http://flowers.la.coocan.jp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Isodon trichocarpus"
"Ranunculus silerifolius","Bombus diversus diversus",1,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Ranunculales","Ranunculaceae","Ranunculus","Ranunculus silerifolius","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","self_compatible","okada & kubo 1999","journal: the japanese society of plant systematics","NA","NA","flower","NA","NA","NA","yellow","dish","actinomorphic","9","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","53.4","NA","NA","13.9","30","herb","perennial","0.28000000000000003","0.95","0.6","okada & kubo 1999; NA","journal: acta phytotaxa geobotanica; online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Ranunculus silerifolius"
"Reynoutria japonica","Bombus diversus diversus",2,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Fabales","Polygalaceae","Reynoutria","Reynoutria japonica","NA","separated","dioecious","NA","none","quantitative","0","0","NA","dioecious","NA","NA","NA","NA","flower","yes","NA","NA","white","dish","actinomorphic","2.5","2","3","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","perennial","1","3","2","beerling, bailey & conolly 1994; NA; krebs 2009","journal: journal of ecology; online: http://www.luontoportti.com; thesis: hybridization in the invasive fallopia complex","https://doi.org/10.2307/2261459","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Reynoutria japonica"
"Rhododendron kaempferi","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Ericales","Ericaceae","Rhododendron","Rhododendron kaempferi","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","red","campanulate","actinomorphic","25","NA","NA","25","20","30","12.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","3","1.5","barrett & lloyd 1996; NA","book: floral biology: studies on floral evolution in animal-pollinated plants; online: https://www.rosebay.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rhododendron kaempferi"
"Rhus javanica","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Sapindales","Simaroubaceae","Brucea","Brucea javanica","NA","separated","monoecious","NA","none","quantitative","0","0","NA","monoecious","NA","NA","NA","NA","flower","no","NA","NA","green","dish","actinomorphic","1.75","1.5","2","0.9","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","NA","tree","perennial","1","4","2.5","NA; wiart 2006","online: http://www.hear.org; book: Ethnopharmacology of medicinal plants","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Brucea javanica"
"Rorippa indica","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Brassicales","Brassicaceae","Rorippa","Rorippa indica","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","de-xing 1988","journal: acta botanica yunnanica","NA","NA","flower","NA","NA","NA","yellow","bowl","actinomorphic","4","3","5","2","NA","NA","NA","0.85","0.2","1.5","NA","NA","80","70","90","NA","NA","herb","annual","0.06","0.75","0.4","NA; dexing 1986; NA","online: efloras.org; journal: acta botanica yunnanica; online: https://plants.jstor.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rorippa indica"
"Rubus buergeri","Bombus diversus diversus",2,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Rubus","Rubus buergeri","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","stolons","NA","white","dish","actinomorphic","8","6","10","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","0.3","0.15","zhenghao & meihua 2017","book: identification and control of common weeds: volume 2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rubus buergeri"
"Rubus crataegifolius","Bombus diversus diversus",2,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Rubus","Rubus crataegifolius","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","8.5","7","10","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","1","3","2","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rubus crataegifolius"
"Rubus palmatus","Bombus diversus diversus",4,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Rubus","Rubus palmatus","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rizhomes","NA","white","dish","actinomorphic","30","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","1","2","1.5","hu 2005","book: food plants of china","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Rubus palmatus"
"Sambucus racemosa","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senecio nikoensis","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Asterales","Asteraceae","Senecio","Senecio nikoensis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","tube","actinomorphic","1","NA","NA","5.75","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.09","0.6","0.34499999999999997","NA; NA","online: http://www.takao599museum.jp; journal: flora of taiwan, memoirs of the college of science, kyoto imperial university","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Senecio nikoensis"
"Senecio nikoensis","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Asterales","Asteraceae","Senecio","Senecio nikoensis","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","capitulum","NA","NA","NA","yellow","capitulum","actinomorphic","10","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.09","0.6","0.34499999999999997","NA; NA","online: http://www.takao599museum.jp; journal: flora of taiwan, memoirs of the college of science, kyoto imperial university","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Senecio nikoensis"
"Stachyurus praecox","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Crossosomatales","Stachyuraceae","Stachyurus","Stachyurus praecox","NA","bisexual","gynodioecious","NA","none","NA","NA","NA","NA","self_incompatible","NA","NA","NA","NA","flower","NA","NA","NA","white","tube","actinomorphic","7.5","7","8","NA","NA","NA","NA","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","1.2","3","2.1","idzojtic 2018; NA; tetsuto 2007","book: dendrology: cones, flowers, fruits and seeds; online: https://landscapeplants.oregonstate.edu; bulletin of ffpri","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stachyurus praecox"
"Staphylea bumalda","Bombus diversus diversus",2,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Crossosomatales","Staphyleaceae","Staphylea","Staphylea bumalda","NA","bisexual","hermaphrodite","NA","none","qualitative","NA","NA","NA","self_incompatible","aeno & hiura 2011","journal: canadian journal of botany","https://www.researchgate.net/deref/http%3A%2F%2Fdx.doi.org%2F10.1139%2Fb00-053?_sg%5B0%5D=cZXxL7_JIl-f71vGCY7D17Y3jlE9nffVDrnPuQ1Q5hN66Ka5_iogrheKgf_JCpBgSONUIrnfYuJ2CL2Xk9wv7eEB5w.DcWQqPayNpBIIepD0xMeiXoP0JJ-P9SDSNzelU7hvyN-qy_uMWjZ_C6Vfba7k4yH14TVNJuLtyEvVDhuNorAqg","NA","flower","NA","NA","no","white","tube","actinomorphic","3","NA","NA","7","NA","NA","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","2","5","3.5","maeno & hiura 2000; NA","journal: canadian journal of botany; online: efloras.org","10.1139/b00-053","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Staphylea bumalda"
"Stellaria alsine","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uliginosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","yes","NA","NA","white","bowl","actinomorphic","5","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","0.1","0.2","0.15","NA; les 2007; NA","online: http://www.luontoportti.com; book: aquatic dicotyledons of north america: ecology, life history, and systematics; online: https://plants.jstor.org/","NA","ISBN 9781482225020","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stellaria uliginosa"
"Stellaria uchiyamana","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Caryophyllales","Caryophyllaceae","Stellaria","Stellaria uchiyamana","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","NA","NA","NA","white","bowl","actinomorphic","10","NA","NA","2","NA","NA","NA","0.75","0.5","1","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.9","0.45","inoue et al., 1990; NA; NA","journal: contributions from the biological laboratory, kyoto; online: efloras.org; online: http://swbiodiversity.org/","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stellaria uchiyamana"
"Stenactis annuus","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Asterales","Asteraceae","Stenactis","Stenactis annua","NA","bisexual","hermaphrodite","NA","high","qualitative","NA","NA","NA","self_compatible","NA","NA","NA","NA","capitulum","yes","apomixis","yes","pink_purple","tube","actinomorphic","8","6","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","annual","0.3","1.5","0.9","yurukova-grancharova, yankova-tsvetkova & vladimirov 2006; noyes, baker & mai 2007","journal: proceedings of the bulgarian academy of sciences; journal: heredity","https://doi.org/10.7546/cr-2013-66-2-13101331-6","10.1038/sj.hdy.6800907","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stenactis annua"
"Stephanandra incisa","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Rosales","Rosaceae","Stephanandra","Stephanandra incisa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","bowl","actinomorphic","4.5","4","5","2","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","shrub","perennial","NA","2.5","1.25","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Stephanandra incisa"
"Swertia bimaculata","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Gentianales","Gentianaceae","Swertia","Swertia bimaculata","NA","bisexual","hermaphrodite","NA","medium","quantitative","36.4","24","11","self_compatible","wang et al., 2017","journal: ecology and evolution","10.1002/ece3.3838","NA","flower","NA","NA","no","white_yellow","dish","actinomorphic","22.5","NA","NA","5","NA","NA","NA","5","NA","NA","NA","NA","73.3","NA","NA","18.8","NA","herb","annual","0.3","2","1.1499999999999899","wang et al., 2017; NA","journal: ecology and evolution; online: efloras.org","10.1002/ece3.3838","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Swertia bimaculata"
"Swida macrophylla","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Cornales","Cornaceae","Cornus","Cornus macrophylla","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","white","dish","actinomorphic","8.5","7","10","2","NA","NA","NA","4.5","4","5","NA","NA","NA","NA","NA","NA","NA","tree","perennial","2","25","13.5","NA; ohya, nanami & itoh 2017","online: efloras.org; journal: ecology and evolution","NA","10.1002/ece3.3117","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Cornus macrophylla"
"Symplocos chinensis","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Ericales","Symplocaceae","Symplocos","Symplocos paniculata","NA","bisexual","hermaphrodite","NA","none","qualitative","NA","NA","NA","self_incompatible","kasuma, kumar & chitra 2018","journal: international journal of current research in biosciences and plant biology","https://doi.org/10.20546/ijcrbp.2018.503.002","NA","flower","no","NA","NA","white","dish","actinomorphic","9","8","10","NA","NA","NA","NA","3","2","4","NA","NA","8","NA","NA","NA","NA","shrub","perennial","NA","4","2","kusuma, kumar & chitra 2018; NA","journal: international journal of current research in biosciences and plant biology; online: http://www.efloras.org","https://doi.org/10.20546/ijcrbp.2018.503.002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Symplocos paniculata"
"Trifolium repens","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","beck_2006.csv","Denmark",56.066667,10.216667,"Fabales","Fabaceae","Trifolium","Trifolium repens","NA","bisexual","hermaphrodite","NA","none","quantitative","0","NA","NA","self_incompatible","rodet et al., 1998","journal: oecologia"," https://doi.org/10.1007/s004420050424 ","NA","flower","yes","stolons","NA","white","papilionaceous","zygomorphic","3","NA","NA","9","8","10","NA","3","NA","NA","NA","NA","4","NA","NA","NA","NA","herb","perennial","0.1","0.3","0.2","rodet et al., 1998; NA; NA; NA; NA","journal: oecologia; online: http://www.luontoportti.com; online: http://www.ogtr.gov.au; online: http://www.missouriplants.com/","https://doi.org/10.1007/s004420050424","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Trifolium repens"
"Trigonotis brevipes","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Boraginales","Boraginaceae","Trigonotis","Trigonotis brevipes","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","NA","NA","NA","blue","bowl","actinomorphic","3","NA","NA","NA","0.5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","0.4","0.2","NA; NA","online: http://www17.plala.or.jp; book: flora of china","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Trigonotis brevipes"
"Valeriana flaccidissima","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Dipsacales","Caprifoliaceae","Valeriana","Valeriana flaccidissima","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","flower","yes","rizhomes","NA","pink_white","campanulate","actinomorphic","4.5","NA","NA","3","2.5","3.5","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","herb","perennial","0.2","0.8","0.5","deyuan, barrie & bell; NA","book: flora of china: valerianaceae; online: http://www.takao599museum.jp","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Valeriana flaccidissima"
"Viburnum phlebotricum","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Dipsacales","Viburnaceae","Viburnum","Viburnum phlebotricum","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_incompatible","flower","NA","NA","NA","white","dish","actinomorphic","5","4","6","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","herb","perennial","NA","NA","NA","inoue et al., 1990; NA","journal: contributions from the biological laboratory, kyoto; online: https://plants.usda.gov/plantguide/pdf/pg_viac.pdf","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Viburnum phlebotricum"
"Viburnum plicatum","Bombus diversus diversus",0,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Dipsacales","Viburnaceae","Viburnum","Viburnum plicatum","NA","bisexual","hermaphrodite","NA","none","qualitative","NA","NA","NA","self_incompatible","NA","NA","NA","NA","flower","no","NA","NA","white","dish","actinomorphic","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","shrub","perennial","NA","3","1.5","NA","online: efloras.org","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Viburnum plicatum"
"Vicia venosa","Bombus diversus diversus",3,"11_metaweb_inouye_1990.csv","Inoue_1990.csv","Kibune, Kyoto, Japan",35.166667,135.866667,"Fabales","Fabaceae","Vicia","Vicia venosa","NA","bisexual","hermaphrodite","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","self_compatible","flower","NA","NA","NA","purple","tube","zygomorphic","5","NA","NA","13","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","herb","perennial","0.4","0.8","0.6","NA; NA","book: flora of china: 29. tribe fabaceae; online: https://cropgenebank.sgrp.cgiar.org/images/file/forage_legumes/breeding%20systems%20table.pdf","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","Vicia venosa"
