Network_id,Type_network,Node_id,Node_FG,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Xylocopa violacea,Bee,0,1,0,0,0,7,0,21,0,0,3,0,0,0,0,-0,0,35,0,0,18,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Cistus ladanifer,3,3,0,2,0,3,0,1,0,7,4,0,0,0,0,0,0,0,0,15,2,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Cistus salviifolius,3,8,0,3,0,28,0,56,0,8,21,0,0,0,0,0,0,70,0,15,63,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Erica scoparia,1,2,0,2,0,1,0,0,0,13,2,0,0,0,0,0,0,-0,0,36,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Erica umbellata,2,2,0,2,0,1,0,0,0,9,2,0,0,0,0,0,0,-0,0,22,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 457,Rosmarinus officinalis,5,7,0,3,0,21,0,35,0,10,18,0,0,0,0,0,0,35,0,22,45,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Andrena hispania,Bee,0,1,0,0,0,7,0,21,0,0,4,0,0,0,0,-0,0,35,0,0,12,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Andrena sp.,Bee,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Apis mellifera,Bee,0,2,0,1,0,13,0,36,0,0,2,7,0,3,0,0,0,55,0,0,10,9,0,4,12,0,0,0,21,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Bombus terrestris,Bee,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Bombylius sp.,Non-syrphids-diptera,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Bombylius torquatus,Non-syrphids-diptera,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,-0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Colletes nigricans,Bee,0,1,0,0,0,7,0,21,0,0,4,0,0,0,0,-0,0,35,0,0,12,0,0,12,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12_6_bartomeus_spain_2008_Elpozo_unp,random 458,Dasypoda crassicornis,Bee,0,2,0,1,0,13,0,36,0,0,2,7,0,3,0,0,0,55,0,0,10,9,0,4,12,0,0,0,21,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,-0
