Network_id,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
6_1_inouye_1988_australia,9,5,48503,0.02544060667635623,0.2690948431301839,0.5525266563382849,7.509094382905417e-4
6_1_inouye_1988_australia,10,5,27852,0.014608823725333973,0.15452301034702765,0.3172787751754306,4.311966203176745e-4
6_1_inouye_1988_australia,11,5,10880,0.005706735679004511,0.060362284668090654,0.12394058142713935,1.6844101784634132e-4
6_1_inouye_1988_australia,12,5,549,2.8795936468506216e-4,0.003045854253932148,0.006253987059145175,8.499459448312628e-6
6_1_inouye_1988_australia,13,5,43362,0.022744069164797202,0.24057255402369,0.6706155273739561,0.0015104654122857874
6_1_inouye_1988_australia,14,5,12523,0.006568515708471828,0.06947765541346501,0.19367460562944633,4.362243060295862e-4
6_1_inouye_1988_australia,15,5,8013,0.004202947885649185,0.0444561568975561,0.12392514692236313,2.791236416365946e-4
6_1_inouye_1988_australia,16,5,762,3.9968130398910265e-4,0.004227579128408555,0.011784720074234457,2.654339385087796e-5
6_1_inouye_1988_australia,17,5,8962,0.004700713709121178,0.04972121279369747,1,0.0014627908096519384
6_1_inouye_1988_australia,18,6,64300,0.03372638824999908,0.03769671323353964,1,5.8279334040835386e-5
6_1_inouye_1988_australia,19,6,201062,0.10546026554154457,0.11787521860282965,0.37591870693926394,1.556391908557954e-4
6_1_inouye_1988_australia,20,6,229024,0.12012678604304494,0.13426830562361092,0.428198296734629,1.7728417128327423e-4
6_1_inouye_1988_australia,21,6,58526,0.03069783201740974,0.03431163046199286,0.10942404950874536,4.530413148196219e-5
6_1_inouye_1988_australia,22,6,36251,0.019014234843712546,0.021252621328601017,0.06777724803918819,2.8061375633950917e-5
6_1_inouye_1988_australia,23,6,9661,0.005067350495851339,0.005663887193611609,0.01806283946116237,7.478440594731174e-6
6_1_inouye_1988_australia,24,6,331,1.7361484464618502e-4,1.940530650124669e-4,6.188593170111526e-4,2.562223203453078e-7
6_1_inouye_1988_australia,25,6,185572,0.09733551042502069,0.10879400417067524,0.23629932028227768,2.3941434255347159e-4
6_1_inouye_1988_australia,26,6,191850,0.10062842279568156,0.1124745635125129,0.2442934526553304,2.4751385779580714e-4
6_1_inouye_1988_australia,27,6,93840,0.0492205952314139,0.0550149233255888,0.11949177793680586,1.2106698157705783e-4
6_1_inouye_1988_australia,28,6,120464,0.063185313128272,0.07062359040381212,0.15339362252109315,1.554157381574882e-4
6_1_inouye_1988_australia,29,6,109977,0.05768471229502565,0.06447544994222378,0.140039932461169,1.4188601271206402e-4
6_1_inouye_1988_australia,30,6,18145,0.009517345486722137,0.010637742793508192,0.02310505446145932,2.3409637475657655e-5
6_1_inouye_1988_australia,31,6,6308,0.0033086478550698943,0.0036981472329264083,0.008032333069324077,8.138219520333342e-6
6_1_inouye_1988_australia,32,6,31871,0.016716854119995656,0.01868478922964451,0.040583146362147694,4.111813480224222e-5
6_1_inouye_1988_australia,33,6,14165,0.0074297712217921775,0.008304415909068257,0.01803709542279257,1.827486992795209e-5
6_1_inouye_1988_australia,34,6,2767,0.001451336178658592,0.0016221898214184166,0.0035233775527615282,3.5698245739953003e-6
6_1_inouye_1988_australia,35,6,7409,0.003886140132880921,0.004343622835883285,0.009434298622482892,9.55866652285189e-6
6_1_inouye_1988_australia,36,6,2770,0.001452909727099494,0.0016239486105272909,0.003527197622388664,3.5736950017950786e-6
6_1_inouye_1988_australia,37,6,188,9.860903562985734e-5,1.1021745082279086e-4,2.3939102996717288e-4,2.4254680878609197e-7
6_1_inouye_1988_australia,38,6,160048,0.08394776028982665,0.0938302264323725,0.5405730382239395,6.371529207417047e-4
6_1_inouye_1988_australia,39,6,75168,0.039426829735239984,0.04406821991195502,0.25388504784325383,2.9924466876382367e-4
6_1_inouye_1988_australia,40,6,33369,0.017502579308152712,0.019563011258009085,0.11270607388092721,1.328423711151026e-4
6_1_inouye_1988_australia,41,6,17174,0.009008040308016862,0.010068481385269203,0.05800635658338709,6.836989066291385e-5
6_1_inouye_1988_australia,42,6,9477,0.004970839524809352,0.005556014794933984,0.032009214006099886,3.7728045523025184e-5
6_1_inouye_1988_australia,43,6,835,4.3797098271771746e-4,4.89529635303353e-4,0.0028202694623924666,3.3241445617522456e-6
6_1_inouye_1988_australia,44,6,25167,0.013200497870726701,0.014754481834346689,1,6.040874592480397e-4
17_2_arroyo_correa_new_zealand_2019_2,1,2,141,2.8243715623041342e-5,1,1,0.13557692307692307
17_2_arroyo_correa_new_zealand_2019_2,2,3,190,3.805890757714791e-5,0.09932043910088866,1,0.02435897435897436
17_2_arroyo_correa_new_zealand_2019_2,3,3,1723,3.4513419871276763e-4,0.9006795608991114,1,0.05177283653846154
17_2_arroyo_correa_new_zealand_2019_2,4,4,24469,0.004901386365817012,0.828278383318665,1,0.03501173305860806
17_2_arroyo_correa_new_zealand_2019_2,5,4,4504,9.021964196182852e-4,0.1524609031209803,0.9377472413075162,0.018044871794871794
17_2_arroyo_correa_new_zealand_2019_2,6,4,299,5.9892701924038026e-005,0.010121183399905219,0.06225275869248387,0.0011979166666666666
17_2_arroyo_correa_new_zealand_2019_2,7,4,270,5.4083710767525975e-5,0.00913953016044953,1,0.007417582417582417
17_2_arroyo_correa_new_zealand_2019_2,8,5,295292,0.059149952296164,0.740306559900521,1,0.02725946768285478
17_2_arroyo_correa_new_zealand_2019_2,9,5,73262,0.014675114141668475,0.1836701948966852,0.7887302715156213,0.013977029914529914
17_2_arroyo_correa_new_zealand_2019_2,10,5,9521,0.0019071518896948698,0.023869453817959376,0.10250199168873673,0.0018164300976800977
17_2_arroyo_correa_new_zealand_2019_2,11,5,9666,0.0019361968454774299,0.024232973490641248,0.10406304502293133,0.0018440934065934065
17_2_arroyo_correa_new_zealand_2019_2,12,5,437,8.753548742744019e-5,0.0010955730824964024,0.004704691772710635,8.337148962148962e-5
17_2_arroyo_correa_new_zealand_2019_2,13,5,7158,0.0014338192654590775,0.017945336669357548,0.6890643049672699,0.006145260989010989
17_2_arroyo_correa_new_zealand_2019_2,14,5,1696,3.3972582763601504e-4,0.004251926654265214,0.16326530612244897,0.001456043956043956
17_2_arroyo_correa_new_zealand_2019_2,15,5,1405,2.814356060310148e-4,0.0035223802766760764,0.13525221409318444,0.0012062156593406594
17_2_arroyo_correa_new_zealand_2019_2,16,5,129,2.5839995144484633e-5,3.2340715707559705e-4,0.01241817481709665,1.1074862637362638e-4
17_2_arroyo_correa_new_zealand_2019_2,17,5,312,6.249673244247446e-5,7.821940543223742e-4,1,0.0026373626373626374
