"","Species_all","Plant_species","guild","Id","Interaction","Z_scores","Order_all","Family_all","Genus_all","Breeding_system.x","IMPUTED_Compatibility.x","Autonomous_selfing_level.x","Autonomous_selfing_level_data_type","Autonomous_selfing_level_fruit_set.x","Flower_morphology.x","Flower_symmetry.x","Flowers_per_plant.x","Flowers_per_inflorescence.x","Floral_unit_width.x","Corolla_diameter_mean.x","Corolla_length_mean.x","STYLE_IMPUTED.x","OVULES_IMPUTED.x","life_form.x","lifespan.x","IMPUTED_plant_height_mean_m.x","Breeding_system.y","IMPUTED_Compatibility.y","Autonomous_selfing_level.y","Autonomous_selfing_level_fruit_set.y","Flower_morphology.y","Flower_symmetry.y","Flowers_per_plant.y","Flowers_per_inflorescence.y","Floral_unit_width.y","Corolla_diameter_mean.y","Corolla_length_mean.y","STYLE_IMPUTED.y","OVULES_IMPUTED.y","life_form.y","lifespan.y","IMPUTED_plant_height_mean_m.y","Clusters"
"1626","Opuntia sulphurea","Opuntia sulphurea","Coleoptera","15_3_peralta_2006_mendoza_site_3.csv",1,-0.428236287121336,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1627","Opuntia sulphurea","Opuntia sulphurea","Non-bee-Hymenoptera","15_4_peralta_2006_mendoza_site_4.csv",4,-0.33352070258002,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1628","Opuntia sulphurea","Opuntia sulphurea","Bee","15_2_peralta_2006_mendoza_site_2.csv",5,-0.514444488887731,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1629","Opuntia sulphurea","Opuntia sulphurea","Non-bee-Hymenoptera","15_3_peralta_2006_mendoza_site_3.csv",5,-0.400234365302804,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1630","Opuntia sulphurea","Opuntia sulphurea","Non-bee-Hymenoptera","15_2_peralta_2006_mendoza_site_2.csv",1,-0.625578838403547,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1631","Opuntia sulphurea","Opuntia sulphurea","Non-bee-Hymenoptera","15_1_peralta_2006_mendoza_site_1.csv",2,-0.451151625418138,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1632","Opuntia sulphurea","Opuntia sulphurea","Bee","15_1_peralta_2006_mendoza_site_1.csv",7,-0.389673940612731,"Caryophyllales","Cactaceae","Opuntia","hermaphrodite","self_compatible","NA","NA","NA","bowl","actinomorphic","50","1","52.5","52.5","32.5","45","270","shrub","perennial","0.18","Hermaphrodite","self_compatible","low",-0.254510374740837,"Open","actinomorphic",-0.227787452164874,-0.165128333370501,0.241833465309479,1.80343899472518,1.25328004697777,4.22777334780025,0.039833671440541,"shrub","Perennial",-0.520330075604353,2
"1633","Origanum vulgare","Origanum vulgare","Non-bee-Hymenoptera","5_1_fang_2008_china.csv",1,-0.537382695700639,"Lamiales","Lamiaceae","Origanum","hermaphrodite","self_compatible","none","quantitative","0","tube","zygomorphic","100","15","35","4","7.5","18.5","4","herb","perennial","0.5","Hermaphrodite","self_compatible","none",-0.712461093035608,"Tube","zygomorphic",-0.222075194578218,-0.131227343468773,-0.148365394918843,-0.563844934377526,-0.196724953646318,1.31529726370643,-0.125100583913004,"herb","Perennial",-0.429893443498942,3
"1634","Origanum vulgare","Origanum vulgare","Syrphids","5_1_fang_2008_china.csv",21,-0.114783024301318,"Lamiales","Lamiaceae","Origanum","hermaphrodite","self_compatible","none","quantitative","0","tube","zygomorphic","100","15","35","4","7.5","18.5","4","herb","perennial","0.5","Hermaphrodite","self_compatible","none",-0.712461093035608,"Tube","zygomorphic",-0.222075194578218,-0.131227343468773,-0.148365394918843,-0.563844934377526,-0.196724953646318,1.31529726370643,-0.125100583913004,"herb","Perennial",-0.429893443498942,3
"1635","Origanum vulgare","Origanum vulgare","Bee","5_1_fang_2008_china.csv",277,5.29449276961,"Lamiales","Lamiaceae","Origanum","hermaphrodite","self_compatible","none","quantitative","0","tube","zygomorphic","100","15","35","4","7.5","18.5","4","herb","perennial","0.5","Hermaphrodite","self_compatible","none",-0.712461093035608,"Tube","zygomorphic",-0.222075194578218,-0.131227343468773,-0.148365394918843,-0.563844934377526,-0.196724953646318,1.31529726370643,-0.125100583913004,"herb","Perennial",-0.429893443498942,3
