motif,motif_functional_ID,counts_observed,motif_observed_probability
8,8_2_Lepidoptera_Lepidoptera_Syrphids_Syrphids,3817,0.0016092136227922322
8,8_4_Coleoptera_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,3778,0.0015927715658656152
13,13_2_3_4_Non-syrphids-diptera_Bee,3771,0.001589820427442889
8,8_4_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,3766,0.0015877124714266562
9,9_1_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,3741,0.0015771726913454914
8,8_2_Coleoptera_Lepidoptera_Non-syrphids-diptera_Syrphids,3730,0.001572535188109779
8,8_3_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids_Syrphids,3724,0.0015700056408902993
8,8_2_Coleoptera_Non-syrphids-diptera_Syrphids_Syrphids,3641,0.0015350135710208324
8,8_2_Bee_Bee_Lepidoptera_Non-syrphids-diptera,3616,0.0015244737909396679
8,8_3_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,3587,0.0015122476460455168
9,9_3_5_Bee_Bee_Bee,3553,0.0014979135451351326
8,8_4_Bee_Lepidoptera_Non-syrphids-diptera_Syrphids,3499,0.0014751476201598167
10,10_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,3466,0.0014612351104526793
10,10_2_3_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,3429,0.0014456362359325555
9,9_3_3_Bee_Bee_Bee,3426,0.0014443714623228157
5,5_2_4_Non-syrphids-diptera_Bee,3381,0.0014253998581767193
13,13_2_4_2_Bee_Bee,3362,0.001417389625315034
9,9_2_4_Bee_Non-syrphids-diptera_Bee,3353,0.0014135953044858147
10,10_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,3343,0.0014093793924533488
13,13_2_5_2_Bee_Bee,3333,0.0014051634804208828
8,8_2_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,3293,0.0013882998322910193
8,8_2_Bee_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,3270,0.0013786032346163478
5,5_3_2_Bee_Bee,3241,0.0013663770897221967
9,9_3_4_Bee_Non-syrphids-diptera_Bee,3208,0.0013524645800150593
8,8_4_Coleoptera_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,3191,0.0013452975295598672
8,8_3_Bee_Lepidoptera_Non-bee-Hymenoptera_Syrphids,3188,0.0013440327559501274
13,13_2_3_4_Bee_Bee,3139,0.0013233747869910446
8,8_2_Bee_Lepidoptera_Lepidoptera_Non-syrphids-diptera,3040,0.0012816372578696323
9,9_1_4_Bee_Non-syrphids-diptera_Bee,3008,0.0012681463393657414
4,4_4_Bee_Bee_Bee,3003,0.0012660383833495083
10,10_3_5_Bee_Bee_Bee,2995,0.0012626656537235356
7,7_2_2_4_Bee,2986,0.0012588713328943164
11,11_2_3_Bee_Bee_Bee,2983,0.0012576065592845766
8,8_3_Non-syrphids-diptera_Syrphids_Syrphids_Syrphids,2981,0.0012567633768780834
9,9_2_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,2973,0.0012533906472521107
9,9_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,2965,0.001250017917626138
10,10_2_4_Bee_Non-syrphids-diptera_Bee,2957,0.0012466451880001653
4,4_2_Bee_Non-syrphids-diptera_Syrphids,2952,0.0012445372319839323
8,8_2_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2908,0.0012259872190410824
4,4_4_Bee_Bee_Non-syrphids-diptera,2882,0.001215025847756671
4,4_3_Bee_Bee_Bee,2876,0.0012124963005371915
9,9_4_4_Coleoptera_Non-syrphids-diptera_Bee,2868,0.0012091235709112188
14,14_2_3_2_Bee_Bee,2815,0.0011867792371391495
8,8_3_Bee_Bee_Bee_Non-bee-Hymenoptera,2808,0.0011838280987164233
13,13_2_2_4_Bee_Bee,2775,0.001169915589009286
4,4_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,2767,0.0011665428593833132
13,13_2_3_2_Non-syrphids-diptera_Bee,2748,0.001158532626521628
9,9_4_4_Bee_Non-syrphids-diptera_Bee,2720,0.0011467280728307235
9,9_4_2_Bee_Bee_Bee,2715,0.0011446201168144906
8,8_2_Syrphids_Syrphids_Syrphids_Syrphids,2709,0.001142090569595011
10,10_1_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2695,0.0011361882927495588
8,8_3_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids_Syrphids,2672,0.0011264916950748873
13,13_2_4_4_Coleoptera_Bee,2665,0.0011235405566521611
11,11_2_4_Non-syrphids-diptera_Bee_Non-syrphids-diptera,2623,0.0011058337261158043
11,11_2_5_Bee_Bee_Bee,2615,0.0011024609964898316
8,8_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,2606,0.0010986666756606124
8,8_3_Bee_Bee_Lepidoptera_Non-syrphids-diptera,2591,0.0010923428076119136
9,9_3_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2590,0.0010919212164086668
15,15_2_2_2_Bee_Bee,2576,0.0010860189395632146
17,17_2_3_4_4_Bee,2574,0.0010851757571567215
8,8_4_Bee_Bee_Bee_Lepidoptera,2556,0.0010775871154982829
13,13_4_4_4_Non-syrphids-diptera_Bee,2503,0.0010552427817262136
9,9_1_2_Non-syrphids-diptera_Syrphids_Bee,2483,0.0010468109576612819
15,15_2_2_4_Bee_Bee,2480,0.001045546184051542
9,9_4_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,2477,0.0010442814104418023
9,9_5_4_Bee_Bee_Bee,2447,0.0010316336743444047
8,8_4_Bee_Coleoptera_Non-syrphids-diptera_Syrphids,2438,0.0010278393535151852
4,4_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2420,0.0010202507118567466
17,17_2_2_2_3_Bee,2415,0.0010181427558405138
15,15_2_2_4_Non-syrphids-diptera_Bee,2399,0.0010113972965885684
9,9_4_4_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera,2391,0.0010080245669625955
8,8_3_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,2384,0.0010050734285398694
13,13_2_2_4_Coleoptera_Bee,2369,9.987495604911706e-4
4,4_2_Bee_Non-syrphids-diptera_Non-syrphids-diptera,2362,9.957984220684444e-4
13,13_3_5_2_Bee_Bee,2359,9.945336484587046e-4
8,8_2_Bee_Coleoptera_Lepidoptera_Syrphids,2329,9.81885912361307e-4
9,9_1_2_Bee_Bee_Bee,2328,9.814643211580605e-4
4,4_4_Bee_Lepidoptera_Non-syrphids-diptera,2325,9.801995475483207e-4
9,9_3_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2311,9.742972707028684e-4
8,8_2_Bee_Coleoptera_Syrphids_Syrphids,2282,9.620711258087173e-4
8,8_3_Lepidoptera_Non-syrphids-diptera_Syrphids_Syrphids,2268,9.561688489632651e-4
8,8_2_Bee_Bee_Coleoptera_Non-syrphids-diptera,2266,9.553256665567719e-4
8,8_2_Lepidoptera_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,2264,9.544824841502787e-4
17,17_2_4_4_4_Bee,2244,9.460506600853469e-4
8,8_4_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,2243,0.00094562906888210035
4,4_3_Bee_Bee_Syrphids,2214,9.334029239879493e-4
4,4_5_Bee_Bee_Bee,2209,9.312949679717163e-4
8,8_2_Coleoptera_Lepidoptera_Syrphids_Syrphids,2204,9.291870119554833e-4
11,11_4_4_Non-syrphids-diptera_Bee_Non-syrphids-diptera,2198,9.266574647360038e-4
11,11_3_4_Bee_Bee_Bee,2196,9.258142823295106e-4
4,4_4_Bee_Coleoptera_Non-syrphids-diptera,2180,9.190688230775652e-4
15,15_3_2_2_Bee_Bee,2176,9.173824582645789e-4
4,4_2_Non-syrphids-diptera_Syrphids_Syrphids,2174,9.165392758580857e-4
5,5_2_2_Non-syrphids-diptera_Bee,2156,9.089506341996471e-4
9,9_2_4_Non-syrphids-diptera_Syrphids_Bee,2149,9.059994957769209e-4
8,8_3_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,2138,9.013619925412084e-4
8,8_3_Bee_Non-bee-Hymenoptera_Non-bee-Hymenoptera_Syrphids,2124,8.954597156957562e-4
9,9_1_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2123,8.950381244925096e-4
10,10_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2120,8.937733508827698e-4
8,8_4_Bee_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera,2108,8.887142564438107e-4
9,9_3_2_Non-syrphids-diptera_Syrphids_Bee,2102,8.861847092243312e-4
9,9_2_4_Non-syrphids-diptera_Non-syrphids-diptera_Lepidoptera,2099,8.849199356145914e-4
10,10_2_4_Non-syrphids-diptera_Syrphids_Bee,2090,8.811256147853721e-4
13,13_3_3_2_Bee_Bee,2088,8.802824323788789e-4
8,8_2_Bee_Bee_Bee_Non-syrphids-diptera,2084,8.785960675658926e-4
13,13_2_4_2_Syrphids_Bee,2076,8.752233379399199e-4
4,4_3_Bee_Non-syrphids-diptera_Syrphids,2068,8.718506083139471e-4
8,8_2_Bee_Bee_Bee_Syrphids,2068,8.718506083139471e-4
8,8_2_Bee_Coleoptera_Lepidoptera_Non-syrphids-diptera,2063,8.697426522977142e-4
13,13_2_3_3_Bee_Bee,2043,8.613108282327824e-4
9,9_3_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,2038,8.592028722165495e-4
9,9_5_3_Bee_Bee_Bee,2020,8.516142305581109e-4
4,4_4_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,2013,8.486630921353848e-4
9,9_4_2_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,2013,8.486630921353848e-4
15,15_2_2_3_Bee_Bee,2011,8.478199097288916e-4
9,9_2_2_Bee_Non-syrphids-diptera_Bee,2008,8.465551361191518e-4
4,4_2_Lepidoptera_Non-syrphids-diptera_Syrphids,1996,8.414960416801927e-4
10,10_3_4_Bee_Bee_Bee,1994,8.406528592736995e-4
5,5_2_4_Bee_Bee,1992,8.398096768672063e-4
5,5_4_4_Non-syrphids-diptera_Bee,1992,8.398096768672063e-4
8,8_5_Bee_Bee_Bee_Syrphids,1985,8.368585384444802e-4
12,12_2_4_Bee_Bee_Bee,1985,8.368585384444802e-4
13,13_4_4_2_Non-syrphids-diptera_Bee,1981,8.351721736314939e-4
7,7_2_4_4_Bee,1976,8.330642176152609e-4
10,10_2_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1976,8.330642176152609e-4
8,8_1_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1967,8.292698967860416e-4
9,9_5_2_Non-syrphids-diptera_Syrphids_Bee,1966,8.28848305582795e-4
13,13_2_4_2_Non-bee-Hymenoptera_Bee,1955,8.242108023470826e-4
8,8_3_Bee_Bee_Lepidoptera_Non-bee-Hymenoptera,1937,8.16622160688644e-4
9,9_3_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,1927,8.12406248656178e-4
4,4_2_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,1923,8.107198838431917e-4
8,8_4_Bee_Bee_Lepidoptera_Lepidoptera,1922,8.102982926399451e-4
13,13_3_4_4_Non-syrphids-diptera_Bee,1918,8.086119278269587e-4
9,9_2_4_Bee_Non-syrphids-diptera_Lepidoptera,1908,8.043960157944929e-4
8,8_4_Bee_Lizards_Non-syrphids-diptera_Non-syrphids-diptera,1895,7.989153301522872e-4
13,13_2_2_3_Bee_Bee,1891,7.972289653393008e-4
8,8_4_Bee_Coleoptera_Coleoptera_Non-syrphids-diptera,1869,7.879539588678758e-4
8,8_3_Bee_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1853,7.812084996159304e-4
9,9_4_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,1851,7.803653172094372e-4
12,12_2_2_Bee_Bee_Bee,1851,7.803653172094372e-4
9,9_2_4_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1835,7.736198579574919e-4
8,8_3_Non-bee-Hymenoptera_Syrphids_Syrphids_Syrphids,1832,7.72355084347752e-4
3,3_2_Bee_Bee,1796,7.571778010308748e-4
8,8_4_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,1792,7.554914362178885e-4
9,9_2_2_Non-syrphids-diptera_Syrphids_Bee,1791,7.550698450146418e-4
11,11_2_4_Non-syrphids-diptera_Bee_Bee,1779,7.500107505756828e-4
8,8_4_Lizards_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1759,7.41578926510751e-4
9,9_1_4_Bee_Bee_Bee,1759,7.41578926510751e-4
8,8_3_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera_Syrphids,1752,7.386277880880249e-4
8,8_3_Bee_Bee_Bee_Lepidoptera,1749,7.373630144782851e-4
10,10_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1749,7.373630144782851e-4
4,4_2_Bee_Syrphids_Syrphids,1746,7.360982408685453e-4
10,10_2_4_Coleoptera_Non-syrphids-diptera_Bee,1742,7.34411876055559e-4
8,8_4_Coleoptera_Lizards_Non-syrphids-diptera_Non-syrphids-diptera,1732,7.301959640230931e-4
9,9_2_4_Lizards_Non-syrphids-diptera_Bee,1716,7.234505047711477e-4
15,15_3_2_4_Bee_Bee,1716,7.234505047711477e-4
11,11_5_4_Bee_Bee_Bee,1709,7.204993663484215e-4
9,9_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Lepidoptera,1695,7.145970895029692e-4
9,9_1_4_Lepidoptera_Non-syrphids-diptera_Bee,1693,7.137539070964761e-4
8,8_2_Bee_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera,1690,7.124891334867363e-4
15,15_2_4_4_Non-syrphids-diptera_Bee,1680,7.082732214542704e-4
7,7_2_3_4_Bee,1677,7.070084478445306e-4
9,9_3_2_Bee_Non-syrphids-diptera_Bee,1667,7.027925358120648e-4
5,5_4_4_Non-syrphids-diptera_Non-syrphids-diptera,1651,6.960470765601193e-4
13,13_3_4_2_Non-syrphids-diptera_Bee,1645,6.935175293406398e-4
8,8_4_Bee_Coleoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1634,6.888800261049273e-4
10,10_2_4_Non-bee-Hymenoptera_Non-syrphids-diptera_Bee,1627,6.859288876822012e-4
13,13_2_4_4_Non-syrphids-diptera_Non-syrphids-diptera,1626,6.855072964789546e-4
13,13_2_3_5_Bee_Bee,1625,6.85085705275708e-4
4,4_3_Bee_Syrphids_Syrphids,1617,6.817129756497353e-4
8,8_4_Bee_Lepidoptera_Non-bee-Hymenoptera_Non-syrphids-diptera,1609,6.783402460237626e-4
17,17_2_2_2_2_Bee,1609,6.783402460237626e-4
4,4_2_Bee_Bee_Non-syrphids-diptera,1608,6.77918654820516e-4
8,8_2_Coleoptera_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,1600,6.745459251945433e-4
8,8_2_Coleoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1600,6.745459251945433e-4
5,5_2_3_Bee_Bee,1599,6.741243339912967e-4
9,9_2_1_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1594,6.720163779750637e-4
9,9_1_2_Syrphids_Syrphids_Bee,1586,6.68643648349091e-4
14,14_2_2_2_Bee_Bee,1574,6.635845539101319e-4
10,10_3_3_Bee_Bee_Bee,1573,6.631629627068854e-4
7,7_2_2_3_Bee,1572,6.627413715036387e-4
9,9_3_4_Lepidoptera_Non-syrphids-diptera_Bee,1572,6.627413715036387e-4
13,13_3_4_2_Bee_Bee,1548,6.526231826257206e-4
9,9_3_4_Coleoptera_Non-syrphids-diptera_Bee,1545,6.513584090159808e-4
13,13_2_4_4_Bee_Bee,1543,6.505152266094876e-4
4,4_3_Bee_Bee_Non-syrphids-diptera,1532,6.458777233737752e-4
13,13_2_3_2_Non-syrphids-diptera_Non-syrphids-diptera,1532,6.458777233737752e-4
9,9_3_2_Non-syrphids-diptera_Syrphids_Syrphids,1529,0.00064461294976403535
5,5_2_4_Non-syrphids-diptera_Non-syrphids-diptera,1528,6.441913585607888e-4
4,4_4_Non-syrphids-diptera_Non-syrphids-diptera_Syrphids,1525,6.42926584951049e-4
10,10_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Bee,1522,6.416618113413093e-4
13,13_2_4_3_Non-syrphids-diptera_Bee,1520,6.408186289348161e-4
8,8_5_Bee_Bee_Lepidoptera_Non-syrphids-diptera,1510,6.366027169023502e-4
8,8_3_Non-bee-Hymenoptera_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1505,6.344947608861172e-4
16,16_2_2_4_Bee_Bee,1494,6.298572576504048e-4
10,10_2_4_Birds_Non-syrphids-diptera_Bee,1483,6.252197544146923e-4
13,13_2_4_4_Syrphids_Bee,1475,6.218470247887196e-4
14,14_2_5_2_Bee_Bee,1475,6.218470247887196e-4
10,10_2_2_Non-syrphids-diptera_Non-syrphids-diptera_Bee,1468,6.188958863659935e-4
13,13_2_4_2_Birds_Bee,1456,6.138367919270343e-4
5,5_2_2_Non-syrphids-diptera_Non-syrphids-diptera,1454,6.129936095205412e-4
9,9_5_2_Syrphids_Syrphids_Bee,1452,6.12150427114048e-4
8,8_1_Bee_Bee_Non-syrphids-diptera_Non-syrphids-diptera,1443,6.083561062848287e-4
11,11_4_4_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1430,6.028754206426231e-4
9,9_1_2_Lepidoptera_Syrphids_Bee,1426,6.011890558296367e-4
5,5_4_2_Non-syrphids-diptera_Bee,1423,5.999242822198969e-4
5,5_5_2_Bee_Bee,1419,5.982379174069106e-4
4,4_4_Bee_Non-syrphids-diptera_Syrphids,1414,5.961299613906776e-4
13,13_2_4_2_Coleoptera_Bee,1405,5.923356405614583e-4
7,7_2_2_2_Bee,1404,5.919140493582117e-4
8,8_3_Bee_Lepidoptera_Non-syrphids-diptera_Non-syrphids-diptera,1402,5.910708669517185e-4
14,14_2_4_4_Bee_Non-syrphids-diptera,1401,5.90649275748472e-4
8,8_3_Lepidoptera_Non-bee-Hymenoptera_Syrphids_Syrphids,1385,5.839038164965265e-4
8,8_5_Bee_Bee_Bee_Lepidoptera,1372,5.784231308543209e-4
11,11_2_3_Non-syrphids-diptera_Non-syrphids-diptera_Non-syrphids-diptera,1369,5.771583572445811e-4
8,8_2_Coleoptera_Syrphids_Syrphids_Syrphids,1368,5.767367660413345e-4
9,9_1_4_Non-syrphids-diptera_Non-syrphids-diptera_Lepidoptera,1363,5.746288100251016e-4
3,3_4_Non-syrphids-diptera_Non-syrphids-diptera,1360,5.733640364153618e-4
15,15_2_2_5_Bee_Bee,1360,5.733640364153618e-4
9,9_3_4_Bee_Lepidoptera_Bee,1359,5.729424452121152e-4
