Network_id,motif,nodes,frequency,normalise_sum,normalise_sizeclass,normalise_levelsize,normalise_nodesets
10_1_souza_2017_brazil_chaco,8,5,41,0.09534883720930233,0.18385650224215247,1,0.2342857142857143
10_1_souza_2017_brazil_chaco,9,5,65,0.1511627906976744,0.2914798206278027,0.5118110236220472,0.18571428571428572
10_1_souza_2017_brazil_chaco,10,5,0,0,0,0,0
10_1_souza_2017_brazil_chaco,11,5,44,0.10232558139534884,0.19730941704035873,0.3464566929133858,0.12571428571428572
10_1_souza_2017_brazil_chaco,12,5,18,0.04186046511627907,0.08071748878923767,0.14173228346456693,0.05142857142857143
10_1_souza_2017_brazil_chaco,13,5,20,0.046511627906976744,0.08968609865470852,0.37735849056603776,0.09523809523809523
10_1_souza_2017_brazil_chaco,14,5,3,0.0069767441860465115,0.013452914798206279,0.05660377358490566,0.014285714285714285
10_1_souza_2017_brazil_chaco,15,5,24,0.05581395348837209,0.10762331838565023,0.4528301886792453,0.11428571428571428
10_1_souza_2017_brazil_chaco,16,5,6,0.013953488372093023,0.026905829596412557,0.11320754716981132,0.02857142857142857
10_1_souza_2017_brazil_chaco,17,5,2,0.004651162790697674,0.008968609865470852,1,0.05714285714285714
14_2_kaiser-bunbury_2010_mauritius_restored,1,2,29,0.020336605890603085,1,1,0.8055555555555556
14_2_kaiser-bunbury_2010_mauritius_restored,2,3,34,0.023842917251051893,0.24817518248175183,1,0.6296296296296297
14_2_kaiser-bunbury_2010_mauritius_restored,3,3,103,0.07223001402524544,0.7518248175182481,1,0.7152777777777778
14_2_kaiser-bunbury_2010_mauritius_restored,4,4,225,0.15778401122019636,0.5487804878048781,1,0.6696428571428571
14_2_kaiser-bunbury_2010_mauritius_restored,5,4,67,0.046984572230014024,0.16341463414634147,0.39880952380952384,0.3101851851851852
14_2_kaiser-bunbury_2010_mauritius_restored,6,4,101,0.07082748948106592,0.24634146341463414,0.6011904761904762,0.4675925925925926
14_2_kaiser-bunbury_2010_mauritius_restored,7,4,17,0.011921458625525946,0.041463414634146344,1,0.4722222222222222
14_2_kaiser-bunbury_2010_mauritius_restored,8,5,322,0.22580645161290322,0.3788235294117647,1,0.6388888888888888
14_2_kaiser-bunbury_2010_mauritius_restored,9,5,120,0.08415147265077139,0.1411764705882353,0.28169014084507044,0.23809523809523808
14_2_kaiser-bunbury_2010_mauritius_restored,10,5,0,0,0,0,0
14_2_kaiser-bunbury_2010_mauritius_restored,11,5,107,0.07503506311360449,0.12588235294117647,0.2511737089201878,0.2123015873015873
14_2_kaiser-bunbury_2010_mauritius_restored,12,5,199,0.13955119214586256,0.23411764705882354,0.4671361502347418,0.3948412698412698
14_2_kaiser-bunbury_2010_mauritius_restored,13,5,6,0.004207573632538569,0.007058823529411765,0.06060606060606061,0.041666666666666664
14_2_kaiser-bunbury_2010_mauritius_restored,14,5,0,0,0,0,0
14_2_kaiser-bunbury_2010_mauritius_restored,15,5,56,0.03927068723702665,0.06588235294117648,0.5656565656565656,0.3888888888888889
14_2_kaiser-bunbury_2010_mauritius_restored,16,5,37,0.025946704067321177,0.04352941176470588,0.37373737373737376,0.2569444444444444
14_2_kaiser-bunbury_2010_mauritius_restored,17,5,3,0.0021037868162692847,0.0035294117647058825,1,0.3333333333333333
1_2_bartomeus_spain_2008_fraop_1_2,1,2,13,0.06701030927835051,1,1,0.52
1_2_bartomeus_spain_2008_fraop_1_2,2,3,15,0.07731958762886598,0.5,1,0.3
1_2_bartomeus_spain_2008_fraop_1_2,3,3,15,0.07731958762886598,0.5,1,0.3
1_2_bartomeus_spain_2008_fraop_1_2,4,4,11,0.05670103092783505,0.18032786885245902,1,0.22
1_2_bartomeus_spain_2008_fraop_1_2,5,4,33,0.17010309278350516,0.5409836065573771,0.8461538461538461,0.33
1_2_bartomeus_spain_2008_fraop_1_2,6,4,6,0.030927835051546393,0.09836065573770492,0.15384615384615385,0.06
1_2_bartomeus_spain_2008_fraop_1_2,7,4,11,0.05670103092783505,0.18032786885245902,1,0.22
1_2_bartomeus_spain_2008_fraop_1_2,8,5,5,0.02577319587628866,0.05555555555555555,1,0.2
1_2_bartomeus_spain_2008_fraop_1_2,9,5,23,0.11855670103092783,0.25555555555555554,0.575,0.23
1_2_bartomeus_spain_2008_fraop_1_2,10,5,3,0.015463917525773196,0.03333333333333333,0.075,0.03
1_2_bartomeus_spain_2008_fraop_1_2,11,5,13,0.06701030927835051,0.14444444444444443,0.325,0.13
1_2_bartomeus_spain_2008_fraop_1_2,12,5,1,0.005154639175257732,0.011111111111111112,0.025,0.01
1_2_bartomeus_spain_2008_fraop_1_2,13,5,23,0.11855670103092783,0.25555555555555554,0.575,0.23
1_2_bartomeus_spain_2008_fraop_1_2,14,5,3,0.015463917525773196,0.03333333333333333,0.075,0.03
1_2_bartomeus_spain_2008_fraop_1_2,15,5,13,0.06701030927835051,0.14444444444444443,0.325,0.13
1_2_bartomeus_spain_2008_fraop_1_2,16,5,1,0.005154639175257732,0.011111111111111112,0.025,0.01
1_2_bartomeus_spain_2008_fraop_1_2,17,5,5,0.02577319587628866,0.05555555555555555,1,0.2
15_1_peralta_2006_mendoza_site_1,1,2,15,0.06550218340611354,1,1,0.625
15_1_peralta_2006_mendoza_site_1,2,3,12,0.05240174672489083,0.3,1,0.3333333333333333
15_1_peralta_2006_mendoza_site_1,3,3,28,0.1222707423580786,0.7,1,0.4666666666666667
15_1_peralta_2006_mendoza_site_1,4,4,31,0.13537117903930132,0.41333333333333333,1,0.3875
15_1_peralta_2006_mendoza_site_1,5,4,25,0.1091703056768559,0.3333333333333333,0.6097560975609756,0.2777777777777778
15_1_peralta_2006_mendoza_site_1,6,4,16,0.06986899563318777,0.21333333333333335,0.3902439024390244,0.17777777777777778
15_1_peralta_2006_mendoza_site_1,7,4,3,0.013100436681222707,0.04,1,0.125
15_1_peralta_2006_mendoza_site_1,8,5,20,0.08733624454148471,0.20202020202020202,1,0.3333333333333333
15_1_peralta_2006_mendoza_site_1,9,5,22,0.09606986899563319,0.2222222222222222,0.3728813559322034,0.18333333333333332
15_1_peralta_2006_mendoza_site_1,10,5,0,0,0,0,0
15_1_peralta_2006_mendoza_site_1,11,5,25,0.1091703056768559,0.25252525252525254,0.423728813559322,0.20833333333333334
15_1_peralta_2006_mendoza_site_1,12,5,12,0.05240174672489083,0.12121212121212122,0.2033898305084746,0.1
15_1_peralta_2006_mendoza_site_1,13,5,3,0.013100436681222707,0.030303030303030304,0.15,0.05
15_1_peralta_2006_mendoza_site_1,14,5,8,0.034934497816593885,0.08080808080808081,0.4,0.13333333333333333
15_1_peralta_2006_mendoza_site_1,15,5,6,0.026200873362445413,0.06060606060606061,0.3,0.1
15_1_peralta_2006_mendoza_site_1,16,5,3,0.013100436681222707,0.030303030303030304,0.15,0.05
15_1_peralta_2006_mendoza_site_1,17,5,0,0,0,NA,0
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,1,2,21,0.032507739938080496,1,1,0.875
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,2,3,18,0.02786377708978328,0.21428571428571427,1,0.75
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,3,3,66,0.1021671826625387,0.7857142857142857,1,0.7857142857142857
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,4,4,122,0.18885448916408668,0.5951219512195122,1,0.7261904761904762
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,5,4,30,0.04643962848297214,0.14634146341463414,0.38461538461538464,0.35714285714285715
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,6,4,48,0.07430340557275542,0.23414634146341465,0.6153846153846154,0.5714285714285714
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,7,4,5,0.007739938080495356,0.024390243902439025,1,0.625
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,8,5,145,0.22445820433436534,0.43154761904761907,1,0.6904761904761905
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,9,5,30,0.04643962848297214,0.08928571428571429,0.18072289156626506,0.17857142857142858
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,10,5,0,0,0,0,0
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,11,5,60,0.09287925696594428,0.17857142857142858,0.3614457831325301,0.35714285714285715
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,12,5,76,0.11764705882352941,0.2261904761904762,0.4578313253012048,0.4523809523809524
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,13,5,0,0,0,0,0
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,14,5,0,0,0,0,0
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,15,5,15,0.02321981424148607,0.044642857142857144,0.6,0.5357142857142857
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,16,5,10,0.015479876160990712,0.02976190476190476,0.4,0.35714285714285715
13_6_kaiser-bunbury_2011_seychelles_trois_ferres,17,5,0,0,0,NA,NA
13_1_kaiser-bunbury_2011_seychelles_bernica,1,2,21,0.032507739938080496,1,1,0.875
13_1_kaiser-bunbury_2011_seychelles_bernica,2,3,18,0.02786377708978328,0.21428571428571427,1,0.75
13_1_kaiser-bunbury_2011_seychelles_bernica,3,3,66,0.1021671826625387,0.7857142857142857,1,0.7857142857142857
13_1_kaiser-bunbury_2011_seychelles_bernica,4,4,122,0.18885448916408668,0.5951219512195122,1,0.7261904761904762
13_1_kaiser-bunbury_2011_seychelles_bernica,5,4,30,0.04643962848297214,0.14634146341463414,0.38461538461538464,0.35714285714285715
13_1_kaiser-bunbury_2011_seychelles_bernica,6,4,48,0.07430340557275542,0.23414634146341465,0.6153846153846154,0.5714285714285714
13_1_kaiser-bunbury_2011_seychelles_bernica,7,4,5,0.007739938080495356,0.024390243902439025,1,0.625
13_1_kaiser-bunbury_2011_seychelles_bernica,8,5,145,0.22445820433436534,0.43154761904761907,1,0.6904761904761905
13_1_kaiser-bunbury_2011_seychelles_bernica,9,5,30,0.04643962848297214,0.08928571428571429,0.18072289156626506,0.17857142857142858
13_1_kaiser-bunbury_2011_seychelles_bernica,10,5,0,0,0,0,0
13_1_kaiser-bunbury_2011_seychelles_bernica,11,5,60,0.09287925696594428,0.17857142857142858,0.3614457831325301,0.35714285714285715
13_1_kaiser-bunbury_2011_seychelles_bernica,12,5,76,0.11764705882352941,0.2261904761904762,0.4578313253012048,0.4523809523809524
13_1_kaiser-bunbury_2011_seychelles_bernica,13,5,0,0,0,0,0
13_1_kaiser-bunbury_2011_seychelles_bernica,14,5,0,0,0,0,0
13_1_kaiser-bunbury_2011_seychelles_bernica,15,5,15,0.02321981424148607,0.044642857142857144,0.6,0.5357142857142857
13_1_kaiser-bunbury_2011_seychelles_bernica,16,5,10,0.015479876160990712,0.02976190476190476,0.4,0.35714285714285715
13_1_kaiser-bunbury_2011_seychelles_bernica,17,5,0,0,0,NA,NA
11_2_kaiser-bunbury_2017_seychelles_casse_dent,1,2,18,0.0481283422459893,1,1,0.5625
11_2_kaiser-bunbury_2017_seychelles_casse_dent,2,3,17,0.045454545454545456,0.34,1,0.3541666666666667
11_2_kaiser-bunbury_2017_seychelles_casse_dent,3,3,33,0.08823529411764706,0.66,1,0.29464285714285715
11_2_kaiser-bunbury_2017_seychelles_casse_dent,4,4,31,0.08288770053475936,0.27927927927927926,1,0.13839285714285715
