"","Breeding_system","IMPUTED_Compatibility","Autonomous_selfing_level","Autonomous_selfing_level_fruit_set","Flower_morphology","Flower_symmetry","Flowers_per_plant","Flowers_per_inflorescence","Floral_unit_width","Corolla_diameter_mean","Corolla_length_mean","STYLE_IMPUTED","OVULES_IMPUTED","life_form","lifespan","IMPUTED_plant_height_mean_m","Clusters"
"Macairea pachyphylla","Hermaphrodite","self_compatible","none",-0.712461093035608,"Open","actinomorphic",-0.153528103538339,0.0746000952202868,0.632032325537801,-0.0269351772614488,-0.05172445358391,-0.278321725703387,-0.0971547685416342,"tree","Perennial",1.12448617081282,3
"Macairea parvifolia","Hermaphrodite","partially_self_compatible","low",-0.573365675217952,"Open","actinomorphic",-0.153528103538339,-0.0464748687144545,-0.0368800062821798,0.0462797896180163,-0.05172445358391,-0.278321725703387,-0.0971547685416342,"shrub","Perennial",-0.119017520636588,2
"Machilus thunbergii","Hermaphrodite","self_compatible","medium",1.18600339339457,"Open","actinomorphic",-0.176377133884965,-0.131227343468773,-0.259850783555507,-0.515034956457883,-0.515726053783617,-0.498131241484052,-0.126960744687668,"tree","Perennial",3.66801644877753,1
"Macleaya cordata","Hermaphrodite","self_compatible","low",-0.201947702180196,"Brush","actinomorphic",-0.204938421818248,0.437824987024511,1.30094465735778,0.217114712336768,-0.05172445358391,-0.608035999374385,-0.124480530321449,"tree","Perennial",-0.14727896816953,2
"Macraea laricifolia","Hermaphrodite","self_compatible","low",-0.00824260880460885,"Capitulum","actinomorphic",-0.229501129440871,-0.165128333370501,-0.728089415829493,-0.319795044779309,-0.39972565373369,-0.278321725703387,-0.0903775827859416,"shrub","Perennial",-0.00597173050482375,2
"Maesa tenera","Dioecious","dioecious","none",-0.712461093035608,"Campanulate","actinomorphic",0.177219607889694,0.0261701096463903,-0.259850783555507,-0.661464890216813,-0.515726053783617,-0.662988378319551,-0.0965781187014884,"shrub","Perennial",0.135335507159882,4
"Maianthemum racemosum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.226645000647543,-0.0222598759275062,0.743517714174465,-0.649262395736902,-0.588226303814821,-0.695959805686651,-0.122620369546785,"herb","Perennial",-0.401631995966,3
"Maianthemum stellatum","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.231786032475534,-0.131227343468773,-0.594306949465497,-0.510153958665919,-0.588226303814821,-0.608035999374385,-0.124418524962293,"herb","Perennial",-0.458154891031883,3
"Maianthemum trifolium","Hermaphrodite","self_incompatible","none",-0.712461093035608,"Open","actinomorphic",-0.232585748537666,-0.148177838419637,-0.594306949465497,-0.600452417817259,-0.501226003777376,-0.608035999374385,-0.125720637504558,"herb","Perennial",-0.542939233630706,3
"Mallotus japonicus","Dioecious","dioecious","none",-0.712461093035608,"Brush","actinomorphic",2.5083839318436,0.0261701096463903,-0.0368800062821798,-0.558963936585562,-0.341725453708727,-0.278321725703387,-0.125100583913004,"shrub","Perennial",0.276642744824588,4
"Malus coronaria","Hermaphrodite","partially_self_compatible","low",-0.457183407984042,"Open","actinomorphic",4.33630635957368,-0.155442336255722,1.74688621190444,0.827239436332311,-0.312725353696245,0.600916337419273,-0.125100583913004,"tree","Perennial",1.19513978964518,2
"Malva multiflora","Hermaphrodite","self_compatible","low",-0.000744300639146998,"Open","actinomorphic",-0.231214806716868,-0.162706834091806,1.30094465735778,1.19331427072964,-0.2257250536588,0.0513925479676102,-0.12200031595523,"herb","Short lived",-0.345109100900118,5
"Malva pusilla","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.232357258234199,-0.162706834091806,-0.0368800062821798,-0.222175088940022,-0.451925833756157,-0.38822648359372,-0.120760208772121,"herb","Short lived",-0.472285614798353,1
"Malvastrum coromandelianum","Hermaphrodite","self_compatible","high",2.5957542496546,"Open","actinomorphic",-0.231786032475534,-0.165128333370501,-0.549712794010832,0.070684778577838,-0.341725453708727,-0.278321725703387,-0.120760208772121,"herb","Short lived",-0.458154891031883,1
"Mandevilla benthamii","Hermaphrodite","self_compatible","none",-0.712461093035608,"Tube","actinomorphic",-0.233156974296331,-0.160285334813111,-0.594306949465497,-0.0269351772614488,0.528277546665723,0.381106821638608,-0.117151496869273,"herb","Perennial",-0.39880702877302,3
"Marcetia taxifolia","Hermaphrodite","self_compatible","none",-0.712461093035608,"Open","actinomorphic",-0.224931323371546,-0.148177838419637,-0.37133617219217,-0.602892916713241,-0.515726053783617,0.315163966904408,-0.0541354503595706,"herb","Perennial",-0.126082882519824,3
"Marrubium vulgare","Hermaphrodite","self_compatible","high",2.5957542496546,"Tube","zygomorphic",-0.223788871854214,-0.119119847075299,-0.259850783555507,-0.519915954249847,-0.498325993776128,-0.641007426741485,-0.126898739328512,"herb","Perennial",-0.401631995966,1
"Martynia louisiana","Hermaphrodite","self_compatible","low",-0.211743904241361,"Tube","zygomorphic",-0.232585748537666,-0.148177838419637,-0.299985523464706,0.617356531277844,2.84828554766426,2.30444008471943,-0.125100583913004,"herb","Short lived",-0.444024167265412,5
"Maytenus octogona","Hermaphrodite","self_compatible","low",-0.222174180909877,"Open","actinomorphic",-0.1192545580184,-0.094904854288351,-0.482821560828834,-0.588249923337348,-0.457725853758653,-0.608035999374385,-0.124480530321449,"shrub","Perennial",0.573387943920471,2
