Network_id,Node_id,np1,np2,np3,np4,np5,np6,np7,np8,np9,np10,np11,np12,np13,np14,np15,np16,np17,np18,np19,np20,np21,np22,np23,np24,np25,np26,np27,np28,np29,np30,np31,np32,np33,np34,np35,np36,np37,np38,np39,np40,np41,np42,np43,np44,np45,np46
17_3_arroyo_correa_new_zealand_2019_3,Syrphids,0,3,0,3,0,11,0,15,0,0,12,2,0,10,0,1,0,9,0,0,14,0,0,0,0,0,0,9,6,0,12,0,0,3,0,0,0,0,0,0,12,1,0,3,0,0
17_3_arroyo_correa_new_zealand_2019_3,1,3,0,10,0,3,0,1,0,15,2,0,0,9,0,12,0,0,0,6,1,0,0,0,0,0,15,0,0,0,3,0,11,0,0,0,0,0,0,12,6,0,0,9,0,6,0
17_3_arroyo_correa_new_zealand_2019_3,2,5,0,13,0,10,0,10,0,0,14,0,0,19,0,13,0,5,0,0,9,0,0,0,0,0,0,12,0,0,15,0,0,6,0,0,0,0,0,0,22,0,0,12,0,6,0
17_3_arroyo_correa_new_zealand_2019_3,3,4,0,12,0,6,0,4,0,8,6,0,0,15,0,13,0,1,0,0,3,0,0,0,0,0,12,3,0,0,9,0,8,1,0,0,0,0,0,4,14,0,0,12,0,6,0
17_3_arroyo_correa_new_zealand_2019_3,4,5,0,13,0,10,0,10,0,0,14,0,0,19,0,13,0,5,0,0,9,0,0,0,0,0,0,12,0,0,15,0,0,6,0,0,0,0,0,0,22,0,0,12,0,6,0
17_3_arroyo_correa_new_zealand_2019_3,5,1,0,4,0,0,0,-0,0,13,0,0,0,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,16,0,0,0,0,0,4,0
2_1_dicks_2002_england_shelfanger,Bee,0,4,0,6,0,13,0,15,0,0,12,3,0,18,0,4,0,7,0,0,3,0,0,0,0,0,0,12,9,0,18,0,0,0,3,0,0,0,0,0,18,0,0,12,0,1
2_1_dicks_2002_england_shelfanger,Coleoptera,0,1,0,0,0,4,0,6,0,0,15,0,0,0,0,-0,0,4,0,0,3,0,0,0,0,0,0,21,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0
2_1_dicks_2002_england_shelfanger,Lepidoptera,0,5,0,10,0,15,0,16,0,0,0,8,0,26,0,10,0,7,0,0,0,1,0,0,0,0,0,0,19,0,22,0,0,0,6,0,0,0,0,0,0,6,0,24,0,5
2_1_dicks_2002_england_shelfanger,Non-syrphids-diptera,0,5,0,10,0,15,0,16,0,0,0,8,0,26,0,10,0,7,0,0,0,1,0,0,0,0,0,0,19,0,22,0,0,0,6,0,0,0,0,0,0,6,0,24,0,5
